Date,Open,High,Low,Close,Adj Close,Volume
2014-10-05,30.778601,30.829300,30.481600,30.554100,22.444189,902996
2014-10-06,30.561300,30.597500,29.956600,30.416500,22.343115,2831940
2014-10-07,30.054399,30.402000,30.018200,30.271601,22.236673,2188715
2014-10-08,30.344000,30.626499,30.271601,30.372999,22.311157,1696176
2014-10-09,29.909500,30.025400,29.561899,29.569201,21.720711,4459194
2014-10-12,28.997000,29.163601,28.700100,28.968100,21.279158,4172515
2014-10-13,28.823200,29.641600,28.823200,29.532900,21.694042,3925286
2014-10-14,29.438801,29.873301,29.438801,29.793600,21.885546,2924269
2014-10-15,29.424299,29.895000,29.156300,29.851601,21.928152,4230583
2014-10-16,30.068800,30.155800,29.612600,29.706800,21.821785,2646863
2014-10-19,29.945700,30.105101,29.858801,29.945700,21.997276,1786087
2014-10-20,30.119499,30.235399,29.858801,29.996401,22.034517,2161045
2014-10-21,30.380301,30.380301,30.090599,30.307800,22.263264,1833410
2014-10-22,30.372999,30.597500,30.344000,30.583000,22.465416,2279058
2014-10-23,30.778601,30.887199,30.525101,30.778601,22.609100,2153140
2014-10-26,31.017500,31.242100,30.945101,31.184099,22.906967,2498597
2014-10-27,31.256500,31.437599,31.068300,31.155100,22.885666,2205527
2014-10-28,31.278299,31.459299,31.205799,31.394100,23.061230,2977588
2014-10-29,31.763500,31.980700,31.618601,31.806900,23.364460,3348808
2014-10-30,31.922800,31.966299,31.604200,31.966299,23.481552,7349785
2014-11-02,32.009701,32.227001,31.828699,31.973499,23.486839,2818356
2014-11-03,32.154499,32.154499,31.705500,31.893801,23.428295,2494742
2014-11-04,31.864901,32.002499,31.669300,31.814199,23.369822,2603676
2014-11-05,32.009701,32.089401,31.850401,31.893801,23.428295,2295060
2014-11-06,32.089401,32.444199,32.067600,32.444199,23.832602,4672458
2014-11-09,32.263199,32.437000,32.176300,32.350101,23.763483,1845478
2014-11-10,32.509399,32.574600,32.429699,32.429699,23.821951,2337213
2014-11-11,32.429699,32.466000,32.082100,32.140099,23.609219,2633858
2014-11-12,32.227001,32.255901,31.828699,31.951799,23.470900,3166620
2014-11-13,31.864901,32.053200,31.756201,31.930000,23.454887,2091960
2014-11-16,32.009701,32.038700,31.683800,31.705500,23.289972,1824841
2014-11-17,31.850401,31.857599,31.510000,31.625900,23.231504,2038742
2014-11-18,31.502800,31.589701,31.010300,31.061001,22.816545,4145436
2014-11-19,30.706200,30.814800,30.431000,30.488899,22.396296,4536513
2014-11-20,30.416500,30.488899,30.097799,30.097799,22.109003,4707094
2014-11-23,30.387501,30.706200,30.199200,30.669901,22.529255,3383629
2014-11-24,30.597500,30.684401,30.213699,30.575800,22.460127,3647987
2014-11-25,30.139400,30.338600,29.890301,30.053900,22.258751,1848019
2014-11-26,30.246099,30.360001,30.068199,30.139400,22.322075,2340810
2014-11-27,30.004101,30.032600,29.477501,29.477501,21.831856,4585007
2014-11-30,29.712299,29.875999,29.185699,29.185699,21.615740,2004618
2014-12-01,29.285299,29.612700,29.000700,29.178600,21.610481,3092349
2014-12-02,29.036200,29.726601,29.036200,29.634100,21.947836,2138943
2014-12-03,30.018400,30.167801,29.726601,29.726601,22.016344,2565668
2014-12-04,29.961399,30.118000,29.740801,29.925800,22.163881,3250356
2014-12-07,30.352800,30.609100,30.260300,30.480900,22.574999,3051881
2014-12-08,30.317301,30.473801,30.064600,30.345699,22.474869,3061533
2014-12-09,29.989901,30.473801,29.698099,29.698099,21.995237,3968869
2014-12-10,29.534401,29.861799,29.356501,29.605600,21.926725,3062170
2014-12-11,29.719500,29.733700,29.441900,29.477501,21.831856,2961597
2014-12-14,29.199900,29.441900,28.751600,28.837000,21.357483,4315445
2014-12-15,28.801399,29.021999,28.659100,28.730200,21.278381,4246999
2014-12-16,28.716000,29.199900,28.652000,28.837000,21.357483,4349945
2014-12-17,28.687500,29.370701,28.687500,28.893900,21.399624,5759090
2014-12-18,29.356501,29.534401,29.249800,29.399200,21.773863,8795328
2014-12-21,29.676800,29.847601,29.541500,29.847601,22.105963,3451549
2014-12-22,29.712299,30.125099,29.562901,29.562901,21.895105,2942017
2014-12-23,29.562901,29.840401,29.399200,29.833300,22.095367,1884539
2014-12-28,30.103800,30.274599,29.783501,30.203400,22.369473,1735210
2014-12-29,30.459600,30.573500,29.904499,29.904499,22.148102,1661643
2014-12-30,29.676800,29.833300,29.562901,29.691000,21.989977,1109345
2015-01-01,29.733700,29.925800,29.562901,29.826200,22.090111,827477
2015-01-04,29.997000,30.089500,29.683901,29.797701,22.069000,1837048
2015-01-05,29.541500,29.790600,29.509501,29.676800,21.979460,2784805
2015-01-06,29.470400,29.634100,29.335199,29.484600,21.837114,2174335
2015-01-07,29.676800,29.826200,29.463301,29.754999,22.037378,2839676
2015-01-08,30.089500,30.409800,29.897400,30.402700,22.517082,2966886
2015-01-11,30.246099,30.459600,30.096600,30.196301,22.364218,1643802
2015-01-12,29.940100,30.424000,29.940100,30.239000,22.395842,1745435
2015-01-13,30.210501,30.338600,29.940100,30.004101,22.221870,2284790
2015-01-14,30.174900,30.338600,29.868900,30.317301,22.453833,3178378
